location,plot,cage,species,percent_cover,height_cm
south,2,lifted,Conicosia pugioniformis,1,5
south,2,lifted,Corethrogyne filaginifolia,,
south,2,lifted,Crassula connata,5,3
south,2,lifted,Croton californicus,,
south,2,lifted,Cryptantha clevelandii,10,20
south,2,lifted,Cuscuta sp.,,
south,2,lifted,Descurainia pinnata,,
south,2,lifted,Dudleya lanceolata,,
south,2,lifted,Erharta calycina,3,20
south,2,lifted,Ericameria ericoides,,
south,2,lifted,Eriogonum fasciculatum,,
south,2,lifted,Eriogonum parvifolium,,
south,2,lifted,Erodium botrys,,
south,2,lifted,Erodium circutarium,,
south,2,lifted,Erysimum insulare,,
south,2,lifted,Festuca bromoides,,
south,2,lifted,Festuca muyros,,
south,2,lifted,Festuca perennis,,
south,2,lifted,Frangula californica,,
south,2,lifted,Hesperocnide tenella,,
south,2,lifted,Hordeum murinum,,
south,2,lifted,Horkelia cuneata ,,
south,2,lifted,Hypochaeris glabra,,
south,2,lifted,Lamarkia aurea,1,10
south,2,lifted,Linanthus californicus,,
south,2,lifted,Lotus strigosus,,
south,2,lifted,Lupinus chamissonis,,
south,2,lifted,Lupinus nipomensis,,
south,2,lifted,Monardella ,,
south,2,lifted,Mucronea californica,1,10
south,2,lifted,Nuttallanthus texanus,,
south,2,lifted,Phacelia douglasii,,
south,2,lifted,Phacillia ramomissomum,,
south,2,lifted,Pholisma arenarium,,
south,2,lifted,Plagiobothrys nothofolvus,,
south,2,lifted,Plantago erecta,,
south,2,lifted,Plantago lanceolota,,
south,2,lifted,Polycarpon tetraphyllum,,
south,2,lifted,Pseudognaphalium bioletti,,
south,2,lifted,Pseudognaphalium californicum,,
south,2,lifted,Pseudognaphalium luteoalbum,,
south,2,lifted,Rafinesquia californica,,
south,2,lifted,Schismus arabicus,,
south,2,lifted,Sencio californicus,,
south,2,lifted,Toxicodendron diversilobum,,
south,3,grounded,Abronia umbellata,,
south,3,grounded,Achillea millefolium,3,25
south,3,grounded,Acmispon glaber,,
south,3,grounded,Ambrosia psilostachya,,
south,3,grounded,Amsinkia spectabilis,,
south,3,grounded,Brassica tournefortii,,
south,3,grounded,Bromus diandrus,,
south,3,grounded,Bromus hordeaceus,,
south,3,grounded,Bromus madritensis,,
south,3,grounded,Camissonia campestris,,
south,3,grounded,Camissoniopsis micrantha,,
south,3,grounded,Cardionema ramosissimum,,
south,3,grounded,Castilleja affinis,,
south,3,grounded,Chenipodium californicum,,
south,3,grounded,Chorizanthe angustifolia,,
south,3,grounded,Cirsium occidentale,,
south,3,grounded,Claytonia perifolata,,
south,3,grounded,Conicosia pugioniformis,,
south,3,grounded,Corethrogyne filaginifolia,,
south,3,grounded,Crassula connata,,
south,3,grounded,Croton californicus,,
south,3,grounded,Cryptantha clevelandii,4,15
south,3,grounded,Cuscuta sp.,,
south,3,grounded,Descurainia pinnata,,
south,3,grounded,Dudleya lanceolata,,
south,3,grounded,Erharta calycina,,
south,3,grounded,Ericameria ericoides,,
south,3,grounded,Eriogonum fasciculatum,,
south,3,grounded,Eriogonum parvifolium,,
south,3,grounded,Erodium botrys,,
south,3,grounded,Erodium circutarium,,
south,3,grounded,Erysimum insulare,,
south,3,grounded,Festuca bromoides,2,25
south,3,grounded,Festuca muyros,1,3
south,3,grounded,Festuca perennis,,
south,3,grounded,Frangula californica,,
south,3,grounded,Hesperocnide tenella,,
south,3,grounded,Hordeum murinum,,
south,3,grounded,Horkelia cuneata ,,
south,3,grounded,Hypochaeris glabra,,
south,3,grounded,Lamarkia aurea,,
south,3,grounded,Linanthus californicus,,
south,3,grounded,Lotus strigosus,,
south,3,grounded,Lupinus chamissonis,,
south,3,grounded,Lupinus nipomensis,,
south,3,grounded,Monardella ,,
south,3,grounded,Mucronea californica,20,20
south,3,grounded,Nuttallanthus texanus,,
south,3,grounded,Phacelia douglasii,,
south,3,grounded,Phacillia ramomissomum,,
south,3,grounded,Pholisma arenarium,,
south,3,grounded,Plagiobothrys nothofolvus,,
south,3,grounded,Plantago erecta,,
south,3,grounded,Plantago lanceolota,,
south,3,grounded,Polycarpon tetraphyllum,,
south,3,grounded,Pseudognaphalium bioletti,,
south,3,grounded,Pseudognaphalium californicum,,
south,3,grounded,Pseudognaphalium luteoalbum,,
south,3,grounded,Rafinesquia californica,,
south,3,grounded,Schismus arabicus,,
south,3,grounded,Sencio californicus,,
south,3,grounded,Toxicodendron diversilobum,,
south,3,lifted,Abronia umbellata,,
south,3,lifted,Achillea millefolium,,
south,3,lifted,Acmispon glaber,,
south,3,lifted,Ambrosia psilostachya,,
south,3,lifted,Amsinkia spectabilis,,
south,3,lifted,Brassica tournefortii,,
south,3,lifted,Bromus diandrus,,
south,3,lifted,Bromus hordeaceus,,
south,3,lifted,Bromus madritensis,,
south,3,lifted,Camissonia campestris,1,1
south,3,lifted,Camissoniopsis micrantha,1,1
south,3,lifted,Cardionema ramosissimum,,
south,3,lifted,Castilleja affinis,,
south,3,lifted,Chenipodium californicum,,
south,3,lifted,Chorizanthe angustifolia,,
south,3,lifted,Cirsium occidentale,,
south,3,lifted,Claytonia perifolata,,
south,3,lifted,Conicosia pugioniformis,1,3
south,3,lifted,Corethrogyne filaginifolia,,
south,3,lifted,Crassula connata,1,1
south,3,lifted,Croton californicus,,
south,3,lifted,Cryptantha clevelandii,2,15
south,3,lifted,Cuscuta sp.,,
south,3,lifted,Descurainia pinnata,,
south,3,lifted,Dudleya lanceolata,,
south,3,lifted,Erharta calycina,1,10
south,3,lifted,Ericameria ericoides,,
south,3,lifted,Eriogonum fasciculatum,,
south,3,lifted,Eriogonum parvifolium,,
south,3,lifted,Erodium botrys,,
south,3,lifted,Erodium circutarium,,
south,3,lifted,Erysimum insulare,,
south,3,lifted,Festuca bromoides,,
south,3,lifted,Festuca muyros,,
south,3,lifted,Festuca perennis,,
south,3,lifted,Frangula californica,,
south,3,lifted,Hesperocnide tenella,,
south,3,lifted,Hordeum murinum,,
south,3,lifted,Horkelia cuneata ,,
south,3,lifted,Hypochaeris glabra,,
south,3,lifted,Lamarkia aurea,,
south,3,lifted,Linanthus californicus,,
south,3,lifted,Lotus strigosus,,
south,3,lifted,Lupinus chamissonis,,
south,3,lifted,Lupinus nipomensis,,
south,3,lifted,Monardella ,,
south,3,lifted,Mucronea californica,15,20
south,3,lifted,Nuttallanthus texanus,,
south,3,lifted,Phacelia douglasii,,
south,3,lifted,Phacillia ramomissomum,,
south,3,lifted,Pholisma arenarium,,
south,3,lifted,Plagiobothrys nothofolvus,,
south,3,lifted,Plantago erecta,,
south,3,lifted,Plantago lanceolota,,
south,3,lifted,Polycarpon tetraphyllum,,
south,3,lifted,Pseudognaphalium bioletti,,
south,3,lifted,Pseudognaphalium californicum,,
south,3,lifted,Pseudognaphalium luteoalbum,,
south,3,lifted,Rafinesquia californica,,
south,3,lifted,Schismus arabicus,,
south,3,lifted,Sencio californicus,,
south,3,lifted,Toxicodendron diversilobum,,
south,4,grounded,Abronia umbellata,,
south,4,grounded,Achillea millefolium,,
south,4,grounded,Acmispon glaber,,
south,4,grounded,Ambrosia psilostachya,,
south,4,grounded,Amsinkia spectabilis,,
south,4,grounded,Brassica tournefortii,,
south,4,grounded,Bromus diandrus,,
south,4,grounded,Bromus hordeaceus,,
south,4,grounded,Bromus madritensis,,
south,4,grounded,Camissonia campestris,,
south,4,grounded,Camissoniopsis micrantha,,
south,4,grounded,Cardionema ramosissimum,2,2
south,4,grounded,Castilleja affinis,,
south,4,grounded,Chenipodium californicum,,
south,4,grounded,Chorizanthe angustifolia,,
south,4,grounded,Cirsium occidentale,,
south,4,grounded,Claytonia perifolata,,
south,4,grounded,Conicosia pugioniformis,,
south,4,grounded,Corethrogyne filaginifolia,1,10
south,4,grounded,Crassula connata,,
south,4,grounded,Croton californicus,,
south,4,grounded,Cryptantha clevelandii,,
south,4,grounded,Cuscuta sp.,,
south,4,grounded,Descurainia pinnata,1,10
south,4,grounded,Dudleya lanceolata,,
south,4,grounded,Erharta calycina,,
south,4,grounded,Ericameria ericoides,,
south,4,grounded,Eriogonum fasciculatum,,
south,4,grounded,Eriogonum parvifolium,,
south,4,grounded,Erodium botrys,,
south,4,grounded,Erodium circutarium,,
south,4,grounded,Erysimum insulare,,
south,4,grounded,Festuca bromoides,,
south,4,grounded,Festuca muyros,,
south,4,grounded,Festuca perennis,,
south,4,grounded,Frangula californica,,
south,4,grounded,Hesperocnide tenella,,
south,4,grounded,Hordeum murinum,,
south,4,grounded,Horkelia cuneata ,,
south,4,grounded,Hypochaeris glabra,,
south,4,grounded,Lamarkia aurea,,
south,4,grounded,Linanthus californicus,,
south,4,grounded,Lotus strigosus,,
south,4,grounded,Lupinus chamissonis,,
south,4,grounded,Lupinus nipomensis,,
south,4,grounded,Monardella ,,
south,4,grounded,Mucronea californica,,
south,4,grounded,Nuttallanthus texanus,,
south,4,grounded,Phacelia douglasii,,
south,4,grounded,Phacillia ramomissomum,,
south,4,grounded,Pholisma arenarium,,
south,4,grounded,Plagiobothrys nothofolvus,,
south,4,grounded,Plantago erecta,,
south,4,grounded,Plantago lanceolota,,
south,4,grounded,Polycarpon tetraphyllum,,
south,4,grounded,Pseudognaphalium bioletti,,
south,4,grounded,Pseudognaphalium californicum,,
south,4,grounded,Pseudognaphalium luteoalbum,,
south,4,grounded,Rafinesquia californica,,
south,4,grounded,Schismus arabicus,,
south,4,grounded,Sencio californicus,,
south,4,grounded,Toxicodendron diversilobum,,
south,4,lifted,Abronia umbellata,,
south,4,lifted,Achillea millefolium,,
south,4,lifted,Acmispon glaber,,
south,4,lifted,Ambrosia psilostachya,,
south,4,lifted,Amsinkia spectabilis,,
south,4,lifted,Brassica tournefortii,,
south,4,lifted,Bromus diandrus,,
south,4,lifted,Bromus hordeaceus,,
south,4,lifted,Bromus madritensis,,
south,4,lifted,Camissonia campestris,,
south,4,lifted,Camissoniopsis micrantha,,
south,4,lifted,Cardionema ramosissimum,5,2
south,4,lifted,Castilleja affinis,,
south,4,lifted,Chenipodium californicum,,
south,4,lifted,Chorizanthe angustifolia,,
south,4,lifted,Cirsium occidentale,,
south,4,lifted,Claytonia perifolata,,
south,4,lifted,Conicosia pugioniformis,,
south,4,lifted,Corethrogyne filaginifolia,1,20
south,4,lifted,Crassula connata,1,2
south,4,lifted,Croton californicus,,
south,4,lifted,Cryptantha clevelandii,,
south,4,lifted,Cuscuta sp.,,
south,4,lifted,Descurainia pinnata,,
south,4,lifted,Dudleya lanceolata,,
south,4,lifted,Erharta calycina,,
south,4,lifted,Ericameria ericoides,,
south,4,lifted,Eriogonum fasciculatum,,
south,4,lifted,Eriogonum parvifolium,,
south,4,lifted,Erodium botrys,,
south,4,lifted,Erodium circutarium,,
south,4,lifted,Erysimum insulare,,
south,4,lifted,Festuca bromoides,,
south,4,lifted,Festuca muyros,,
south,4,lifted,Festuca perennis,,
south,4,lifted,Frangula californica,,
south,4,lifted,Hesperocnide tenella,,
south,4,lifted,Hordeum murinum,,
south,4,lifted,Horkelia cuneata ,,
south,4,lifted,Hypochaeris glabra,,
south,4,lifted,Lamarkia aurea,,
south,4,lifted,Linanthus californicus,,
south,4,lifted,Lotus strigosus,,
south,4,lifted,Lupinus chamissonis,,
south,4,lifted,Lupinus nipomensis,,
south,4,lifted,Monardella ,,
south,4,lifted,Mucronea californica,,
south,4,lifted,Nuttallanthus texanus,,
south,4,lifted,Phacelia douglasii,,
south,4,lifted,Phacillia ramomissomum,,
south,4,lifted,Pholisma arenarium,,
south,4,lifted,Plagiobothrys nothofolvus,,
south,4,lifted,Plantago erecta,,
south,4,lifted,Plantago lanceolota,,
south,4,lifted,Polycarpon tetraphyllum,,
south,4,lifted,Pseudognaphalium bioletti,,
south,4,lifted,Pseudognaphalium californicum,,
south,4,lifted,Pseudognaphalium luteoalbum,,
south,4,lifted,Rafinesquia californica,,
south,4,lifted,Schismus arabicus,,
south,4,lifted,Sencio californicus,,
south,4,lifted,Toxicodendron diversilobum,,
south,5,grounded,Abronia umbellata,,
south,5,grounded,Achillea millefolium,,
south,5,grounded,Acmispon glaber,,
south,5,grounded,Ambrosia psilostachya,,
south,5,grounded,Amsinkia spectabilis,,
south,5,grounded,Brassica tournefortii,,
south,5,grounded,Bromus diandrus,,
south,5,grounded,Bromus hordeaceus,,
south,5,grounded,Bromus madritensis,,
south,5,grounded,Camissonia campestris,,
south,5,grounded,Camissoniopsis micrantha,1,1
south,5,grounded,Cardionema ramosissimum,,
south,5,grounded,Castilleja affinis,,
south,5,grounded,Chenipodium californicum,,
south,5,grounded,Chorizanthe angustifolia,,
south,5,grounded,Cirsium occidentale,,
south,5,grounded,Claytonia perifolata,,
south,5,grounded,Conicosia pugioniformis,1,3
south,5,grounded,Corethrogyne filaginifolia,,
south,5,grounded,Crassula connata,1,1
south,5,grounded,Croton californicus,,
south,5,grounded,Cryptantha clevelandii,3,15
south,5,grounded,Cuscuta sp.,,
south,5,grounded,Descurainia pinnata,1,20
south,5,grounded,Dudleya lanceolata,,
south,5,grounded,Erharta calycina,,
south,5,grounded,Ericameria ericoides,,
south,5,grounded,Eriogonum fasciculatum,,
south,5,grounded,Eriogonum parvifolium,1,25
south,5,grounded,Erodium botrys,,
south,5,grounded,Erodium circutarium,,
south,5,grounded,Erysimum insulare,,
south,5,grounded,Festuca bromoides,,
south,5,grounded,Festuca muyros,,
south,5,grounded,Festuca perennis,,
south,5,grounded,Frangula californica,,
south,5,grounded,Hesperocnide tenella,,
south,5,grounded,Hordeum murinum,,
south,5,grounded,Horkelia cuneata ,,
south,5,grounded,Hypochaeris glabra,,
south,5,grounded,Lamarkia aurea,,
south,5,grounded,Linanthus californicus,,
south,5,grounded,Lotus strigosus,,
south,5,grounded,Lupinus chamissonis,,
south,5,grounded,Lupinus nipomensis,,
south,5,grounded,Monardella ,,
south,5,grounded,Mucronea californica,,
south,5,grounded,Nuttallanthus texanus,,
south,5,grounded,Phacelia douglasii,,
south,5,grounded,Phacillia ramomissomum,,
south,5,grounded,Pholisma arenarium,,
south,5,grounded,Plagiobothrys nothofolvus,,
south,5,grounded,Plantago erecta,,
south,5,grounded,Plantago lanceolota,,
south,5,grounded,Polycarpon tetraphyllum,,
south,5,grounded,Pseudognaphalium bioletti,,
south,5,grounded,Pseudognaphalium californicum,,
south,5,grounded,Pseudognaphalium luteoalbum,,
south,5,grounded,Rafinesquia californica,,
south,5,grounded,Schismus arabicus,,
south,5,grounded,Sencio californicus,,
south,5,grounded,Toxicodendron diversilobum,,
south,5,lifted,Abronia umbellata,,
south,5,lifted,Achillea millefolium,,
south,5,lifted,Acmispon glaber,,
south,5,lifted,Ambrosia psilostachya,,
south,5,lifted,Amsinkia spectabilis,,
south,5,lifted,Brassica tournefortii,,
south,5,lifted,Bromus diandrus,,
south,5,lifted,Bromus hordeaceus,,
south,5,lifted,Bromus madritensis,,
south,5,lifted,Camissonia campestris,,
south,5,lifted,Camissoniopsis micrantha,,
south,5,lifted,Cardionema ramosissimum,,
south,5,lifted,Castilleja affinis,,
south,5,lifted,Chenipodium californicum,,
south,5,lifted,Chorizanthe angustifolia,,
south,5,lifted,Cirsium occidentale,,
south,5,lifted,Claytonia perifolata,,
south,5,lifted,Conicosia pugioniformis,,
south,5,lifted,Corethrogyne filaginifolia,,
south,5,lifted,Crassula connata,1,1
south,5,lifted,Croton californicus,,
south,5,lifted,Cryptantha clevelandii,,
south,5,lifted,Cuscuta sp.,,
south,5,lifted,Descurainia pinnata,3,20
south,5,lifted,Dudleya lanceolata,,
south,5,lifted,Erharta calycina,1,5
south,5,lifted,Ericameria ericoides,,
south,5,lifted,Eriogonum fasciculatum,,
south,5,lifted,Eriogonum parvifolium,,
south,5,lifted,Erodium botrys,,
south,5,lifted,Erodium circutarium,,
south,5,lifted,Erysimum insulare,,
south,5,lifted,Festuca bromoides,,
south,5,lifted,Festuca muyros,,
south,5,lifted,Festuca perennis,,
south,5,lifted,Frangula californica,,
south,5,lifted,Hesperocnide tenella,,
south,5,lifted,Hordeum murinum,,
south,5,lifted,Horkelia cuneata ,,
south,5,lifted,Hypochaeris glabra,,
south,5,lifted,Lamarkia aurea,,
south,5,lifted,Linanthus californicus,,
south,5,lifted,Lotus strigosus,,
south,5,lifted,Lupinus chamissonis,,
south,5,lifted,Lupinus nipomensis,,
south,5,lifted,Monardella ,,
south,5,lifted,Mucronea californica,,
south,5,lifted,Nuttallanthus texanus,,
south,5,lifted,Phacelia douglasii,,
south,5,lifted,Phacillia ramomissomum,,
south,5,lifted,Pholisma arenarium,,
south,5,lifted,Plagiobothrys nothofolvus,,
south,5,lifted,Plantago erecta,,
south,5,lifted,Plantago lanceolota,,
south,5,lifted,Polycarpon tetraphyllum,,
south,5,lifted,Pseudognaphalium bioletti,,
south,5,lifted,Pseudognaphalium californicum,,
south,5,lifted,Pseudognaphalium luteoalbum,,
south,5,lifted,Rafinesquia californica,,
south,5,lifted,Schismus arabicus,,
south,5,lifted,Sencio californicus,,
south,5,lifted,Toxicodendron diversilobum,,
north,1,grounded,Abronia umbellata,,
north,1,grounded,Achillea millefolium,,
north,1,grounded,Acmispon glaber,,
north,1,grounded,Ambrosia psilostachya,,
north,1,grounded,Amsinkia spectabilis,15,40
north,1,grounded,Brassica tournefortii,,
north,1,grounded,Bromus diandrus,,
north,1,grounded,Bromus hordeaceus,,
north,1,grounded,Bromus madritensis,5,12
north,1,grounded,Camissonia campestris,,
north,1,grounded,Camissoniopsis micrantha,1,3
north,1,grounded,Cardionema ramosissimum,,
north,1,grounded,Castilleja affinis,,
north,1,grounded,Chenipodium californicum,,
north,1,grounded,Chorizanthe angustifolia,10,2
north,1,grounded,Cirsium occidentale,,
north,1,grounded,Claytonia perifolata,,
north,1,grounded,Conicosia pugioniformis,,
north,1,grounded,Corethrogyne filaginifolia,5,15
north,1,grounded,Crassula connata,2,3
north,1,grounded,Croton californicus,,
north,1,grounded,Cryptantha clevelandii,,
north,1,grounded,Cuscuta sp.,,
north,1,grounded,Descurainia pinnata,,
north,1,grounded,Dudleya lanceolata,,
north,1,grounded,Erharta calycina,,
north,1,grounded,Ericameria ericoides,,
north,1,grounded,Eriogonum fasciculatum,,
north,1,grounded,Eriogonum parvifolium,,
north,1,grounded,Erodium botrys,,
north,1,grounded,Erodium circutarium,,
north,1,grounded,Erysimum insulare,,
north,1,grounded,Festuca bromoides,10,10
north,1,grounded,Festuca muyros,3,3
north,1,grounded,Festuca perennis,,
north,1,grounded,Frangula californica,,
north,1,grounded,Hesperocnide tenella,,
north,1,grounded,Hordeum murinum,,
north,1,grounded,Horkelia cuneata ,,
north,1,grounded,Hypochaeris glabra,,
north,1,grounded,Lamarkia aurea,,
north,1,grounded,Linanthus californicus,,
north,1,grounded,Lotus strigosus,,
north,1,grounded,Lupinus chamissonis,,
north,1,grounded,Lupinus nipomensis,,
north,1,grounded,Monardella ,,
north,1,grounded,Mucronea californica,,
north,1,grounded,Nuttallanthus texanus,,
north,1,grounded,Phacelia douglasii,,
north,1,grounded,Phacillia ramomissomum,,
north,1,grounded,Pholisma arenarium,,
north,1,grounded,Plagiobothrys nothofolvus,,
north,1,grounded,Plantago erecta,,
north,1,grounded,Plantago lanceolota,,
north,1,grounded,Polycarpon tetraphyllum,5,2
north,1,grounded,Pseudognaphalium bioletti,,
north,1,grounded,Pseudognaphalium californicum,,
north,1,grounded,Pseudognaphalium luteoalbum,,
north,1,grounded,Rafinesquia californica,,
north,1,grounded,Schismus arabicus,,
