Slope,rep,Topo,Aspect,current.year,start.year,sowing.year,cage,lifted,caged,severity,bank,germination,earlydeath,reproductive,percent,previous,totalseedpods,avgseedpods,proportionseeded,sdays,daysseeding,finalseedbank,nativebiomass,nonnativebiomass,nativecover,nonnativecover,avg_nonnative_height,avg_native_height,ercacover,ph,som,ec,nitrogen,carbon,bulkdensity,march.soil.percent.water.content,jan.avg.vwc,decrain,janrain,febrain,marchrain,aprilrain,mayrain,totalrain,decsolar,avgdecsolar,jansolar,avgjansolar,febsolar,avgfebsolar,marchsolar,avgmarchsolar,aprilsolar,avgaprilsolar,maysolar,avgmaysolar,totalsolar
steep,3,North Steep,north,6,6,2019,small,no,Caged,,50,0,0,0,0.00%,no,,,,,,50,120,59,84,41,21.58536585,36.53571429,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
swale,2,No.aspect Swale,no.aspect,6,6,2019,small,no,Caged,,50,1,1,1,2.00%,no,,,,,,49,190,10,81,7,15.71428571,41.11111111,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
swale,4,No.aspect Swale,no.aspect,6,6,2019,small,no,Caged,,50,4,4,0,8.00%,no,,,,,,46,141,1,80,2,12.5,31.1375,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,4,South Steep,south,6,2,2015,big,no,Caged,,74,0,0,0,0.00%,yes,,,,,,74,,,80,20,8.5,5.875,0,5.99,2.95,32.8,0.039004985,0.5322551,,,2.1,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
ridge,3,No.aspect Ridge,no.aspect,6,1,2014,big,no,Caged,,37,0,0,0,0.00%,no,,,,,,37,177,4,75,15,13.33333333,27.26666667,0,6.24,3.43,40.15,0,0.7859843,1.06,1.32,5.8,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
swale,5,No.aspect Swale,no.aspect,6,2,2015,none,no,No Cage,,39,0,0,0,0.00%,no,,,,,,39,,,70,25,16.66666667,20.64285714,0,6.07,2.867,42.75,0.032717105,0.7005486,,,7,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,5,No.aspect Swale,no.aspect,6,2,2015,big,no,Caged,,37,0,0,0,0.00%,yes,,,,,,37,,,70,40,14.375,24.64285714,0,6.25,4.731,26.75,0.0408588,1.25105595,,,5.5,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,1,North Steep,north,6,2,2015,small,no,Caged,,2356,0,0,0,0.00%,yes,,,,,,2356,,,67,15,20,32.01492537,10,5.51,7.945,29.55,0.031090675,0.57696615,1.19,1.27,1.9,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
ridge,2,No.aspect Ridge,no.aspect,6,1,2014,small,no,Caged,,41,0,0,0,0.00%,yes,,,,,,41,,,67,35,12.85714286,13.58208955,5,6.625,0.575,40.05,0.033405905,0.4886722,1.15,0.75,2.5,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,1,North Steep,north,6,2,2015,none,no,No Cage,,35,23,17,6,65.71%,yes,76,12.66666667,26.08695652,108,14.66666667,202,,,63,5,5,3.841269841,0,6.29,2.665,15.95,0.03640489,0.2277488,1.19,1.27,3.7,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,5,No.aspect Swale,no.aspect,6,6,2019,small,no,Caged,,50,9,9,6,18.00%,no,,,,,,41,,,62,5,12.4,79.9516129,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,1,South Steep,south,6,1,2014,small,no,Caged,,25,0,0,0,0.00%,no,,,,,,25,,,59,23,36.52173913,38.6440678,20,6.345,2.396,11.7,0.026917945,0.26728505,1.27,1.07,4.8,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,1,North Steep,north,6,2,2015,big,no,Caged,,580,0,0,0,0.00%,yes,,,,,,580,48,40,58,15,20,15.34482759,10,6.145,5.545,21.75,0.04462578,0.7734109,1.19,1.27,2.4,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,2,South Steep,south,6,1,2014,none,no,No Cage,,28,0,0,0,0.00%,no,,,,,,28,,,58,0,0,13.9137931,0,6.745,1.356,13.5,0.019222375,0,1.24,2.3,4.9,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
ridge,3,No.aspect Ridge,no.aspect,6,1,2014,none,no,No Cage,,34,0,0,0,0.00%,no,,,,,,34,,,52,10,15,10.19230769,0,6.195,4.705,31.45,0.087311655,0.77844155,1.06,1.32,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,4,No.aspect Swale,no.aspect,6,2,2015,none,no,No Cage,,39,1,1,0,2.56%,no,,,0,,,38,,,50,0,0,23,0,6.175,2.545,32.2,0.024426855,0.76217225,,,6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
ridge,1,No.aspect Ridge,no.aspect,6,1,2014,big,no,Caged,,162,0,0,0,0.00%,yes,,,,,,162,,,50,40,NA,10.55555556,0,6.005,5.795,47.75,0.0808851,1.63661885,1.03,2.26,3.3,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
ridge,1,No.aspect Ridge,no.aspect,6,1,2014,small,no,Caged,,940,13,2,2,1.38%,yes,44,22,15.38461538,99,20,1037,,,50,5,20,22.75,5,6.2,3.104,30.65,0,0.69382165,1.03,2.26,3.1,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,2,South Steep,south,6,1,2014,big,no,Caged,,38,0,0,0,0.00%,no,,,,,,38,,,49,22,15.22727273,22.24489796,0,6.49,2.068,29.65,0.028855335,0.20495255,1.24,2.3,3.4,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,4,No.aspect Swale,no.aspect,6,2,2015,big,no,Caged,,84,0,0,0,0.00%,yes,,,,,,84,27,46,48,80,24.375,10.83333333,0,6.38,2.07,28.1,0.05531484,0.5421546,,,3.6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,2,North Steep,north,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,39,7,47,21,47.38095238,27.12765957,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,2,North Steep,north,6,2,2015,none,no,No Cage,,37,0,0,0,0.00%,no,,,,,,37,,,44,7,25,12.5,7,5.515,8.39,42.7,0,1.417365,1.15,1.19,4.5,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,3,South Steep,south,6,1,2014,small,no,Caged,,33,0,0,0,0.00%,no,,,,,,33,,,40,38,15.81578947,15.25,0,6.935,2.37,17.75,0.05470376,0.9791892,1.21,0.79,1.6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
ridge,2,No.aspect Ridge,no.aspect,6,1,2014,big,no,Caged,,40,0,0,0,0.00%,no,,,,,,40,,,38,35,15.71428571,45.52631579,0,5.48,6.8,51.1,0.079254195,1.03387125,1.15,0.75,1.9,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,3,No.aspect Swale,no.aspect,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,38,0,0,25.84210526,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,2,South Steep,south,6,1,2014,small,no,Caged,,35,0,0,0,0.00%,no,,,,,,35,,,37,30,16.66666667,33.21621622,0,6.64,1.107,18.25,0.047090505,0.31778755,1.24,2.3,3.6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,5,South Steep,south,6,2,2015,big,no,Caged,,693,2,2,0,0.29%,yes,,,0,,,691,31,81,35,27,12.22222222,18.02857143,1,6.45,2.84,34.05,0.05428337,0.62390005,,,2,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,1,South Steep,south,6,6,2019,small,no,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,34,3,10,18.38235294,1,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,2,North Steep,north,6,2,2015,small,no,Caged,,253,0,0,0,0.00%,yes,,,,,,253,,,33,80,11.875,4.866666667,10,5.625,8.635,37.95,0,1.266846,1.15,1.19,3.5,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,1,North Steep,north,6,6,2019,small,no,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,33,23,7.782608696,21.33333333,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,4,North Steep,north,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,32,16,9.6875,16.96875,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,5,North Steep,north,6,6,2019,small,no,Caged,,50,4,3,1,8.00%,no,2,2,25,111,16,51,,,30,22,19.45454545,23.36666667,1,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,4,South Steep,south,6,2,2015,small,no,Caged,,848,31,29,2,3.66%,yes,70,35,6.451612903,132.5,20,992,,,28,35,8.714285714,3,0,6.335,3.31,66.35,0.052005475,0.3698053,,,2.6,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,1,South Steep,south,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,28,3,5.666666667,14.82142857,1,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,3,South Steep,south,6,6,2019,small,no,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,27,3,17.66666667,19.81481481,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,1,No.aspect Swale,no.aspect,6,6,2019,small,no,Caged,,50,4,4,0,8.00%,no,,,,,,46,,,27,4,7.75,14.11111111,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,2,North Steep,north,6,6,2019,small,no,Caged,,50,1,1,0,2.00%,no,,,,,,49,36,120,26,47,50,48.61538462,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
swale,2,No.aspect Swale,no.aspect,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,52,0,26,3,8.333333333,2.038461538,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,2,South Steep,south,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,27,6,23,5,15,14.30434783,3,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
swale,6,No.aspect Swale,no.aspect,6,2,2015,none,no,No Cage,,35,0,0,0,0.00%,no,,,,,,35,,,23,0,0,36.08695652,0,6.815,2.1955,30.9,0.076410345,0.65390695,,,3,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,5,South Steep,south,6,2,2015,small,no,Caged,,50,0,0,0,0.00%,yes,,,,,,50,,,23,24,15.83333333,30.43478261,2,5.505,5.545,56.05,0,0.8642285,,,5.9,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,2,South Steep,south,6,6,2019,small,no,Caged,,50,0,0,0,0.00%,no,,,,,,50,28,2,22,1,3,14.45454545,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,1,South Steep,south,6,1,2014,none,no,No Cage,,34,0,0,0,0.00%,no,,,,,,34,,,21,3,15,19.76190476,0,6.67,0.9735,17.9,0.029109955,0.29065965,1.27,1.07,4.5,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,1,No.aspect Swale,no.aspect,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,21,0,0,30.14285714,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,2,No.aspect Swale,no.aspect,6,1,2014,none,no,No Cage,,37,0,0,0,0.00%,no,,,,,,37,,,20,10,5,31.06666667,0,5.835,1.02,26.9,0.025871695,0.47099525,1.24,1.4,5,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,3,South Steep,south,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,20,2,6.5,16.65,1,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,5,No.aspect Swale,no.aspect,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,20,2,30,9.25,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,3,South Steep,south,6,1,2014,big,no,Caged,,132,0,0,0,0.00%,yes,,,,,,132,,,19,11,9.818181818,41.21052632,0,5.74,1.818,31.4,0.03967767,0.6011692,1.21,0.79,1.9,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,4,North Steep,north,6,6,2019,small,no,Caged,,50,1,1,1,2.00%,no,,,,,,49,,,14,12,9.583333333,9.785714286,1,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,3,North Steep,north,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,9,2,13,11,2.272727273,13.38461538,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,3,North Steep,north,6,2,2015,small,no,Caged,,28,0,0,0,0.00%,no,,,,,,28,,,11,12,37.5,27.09090909,10,6.785,6.4,31.55,0.04034082,1.5241305,1.11,0.75,6.2,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,5,North Steep,north,6,6,2019,small,yes,Caged,,50,2,2,0,4.00%,no,,,,,,48,,,11,8,16.625,8.090909091,1,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
swale,4,No.aspect Swale,no.aspect,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,20,1,10,0,0,27,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,5,South Steep,south,6,2,2015,none,no,No Cage,,40,0,0,0,0.00%,no,,,,,,40,,,10,1,10,34.7,0,6.395,2.05,18.5,0.05563932,0.3601587,,,1.8,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
steep,4,South Steep,south,6,6,2019,small,yes,Caged,,50,0,0,0,0.00%,no,,,,,,50,8,0,7,0,0,3.428571429,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.1290323,3924,126.580645,4877,168.172414,5582,180.064516,7800,260,9669,315.8,34708
steep,5,South Steep,south,6,6,2019,small,no,Caged,,50,0,0,0,0.00%,no,,,,,,50,,,7,1,3,13.14285714,0,,,,,,,,,53.048,4.569,0.762,33.5603,7.108,17.01,116.0573,2856,92.12903226,3924,126.5806452,4877,168.1724138,5582,180.0645161,7800,260,9669,315.8,34708
